player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Declan Rice,Arsenal,MF,24,38,"3,225",7,0,8,3.3,3.3,75,278,0.20,0.22,0.42,0.09,0.09,0,8,278,75,64
Dejan Kulusevski,Tottenham,"FW,MF",23,36,"2,762",8,0,3,4.7,4.7,151,144,0.26,0.10,0.36,0.15,0.15,0,3,144,151,388
Destiny Udogie,Tottenham,DF,20,28,"2,391",2,0,3,2.4,2.4,83,155,0.08,0.11,0.19,0.09,0.09,0,3,155,83,138
Diego Carlos,Aston Villa,DF,30,27,"1,816",0,0,0,1.9,1.9,4,59,0.00,0.00,0.00,0.10,0.10,0,0,59,4,1
Diogo Dalot,Manchester Utd,DF,24,36,"3,174",2,0,3,1.7,1.7,52,124,0.06,0.09,0.14,0.05,0.05,0,3,124,52,111
Diogo Jota,Liverpool,FW,26,21,"1,145",10,0,3,5.3,5.3,54,34,0.79,0.24,1.02,0.42,0.42,0,3,34,54,111
Divock Origi,Nott'ham Forest,FW,28,20,606,0,0,1,1.4,1.4,19,14,0.00,0.15,0.15,0.21,0.21,0,1,14,19,41
Dominic Calvert-Lewin,Everton,FW,26,32,"2,171",7,2,2,12.9,11.4,36,31,0.29,0.08,0.37,0.54,0.47,2,2,31,36,122
Dominic Solanke,Bournemouth,FW,25,38,"3,325",19,2,3,19.6,17.2,52,60,0.51,0.08,0.60,0.53,0.47,3,3,60,52,184
Dominik Szoboszlai,Liverpool,MF,22,33,"2,104",3,0,2,3.7,3.7,75,152,0.13,0.09,0.21,0.16,0.16,0,2,152,75,160
Douglas Luiz,Aston Villa,MF,25,35,"2,993",9,4,5,6.9,3.8,60,168,0.27,0.15,0.42,0.21,0.11,4,5,168,60,50
Dwight McNeil,Everton,"MF,FW",23,35,"2,892",3,0,6,3.4,3.4,80,114,0.09,0.19,0.28,0.11,0.11,0,6,114,80,147
Eberechi Eze,Crystal Palace,"MF,FW",25,27,"2,055",11,1,4,9.1,8.3,68,93,0.48,0.18,0.66,0.40,0.36,1,4,93,68,139
Eddie Nketiah,Arsenal,FW,24,27,"1,082",5,0,2,4.5,4.5,22,20,0.42,0.17,0.58,0.38,0.38,0,2,20,22,77
Ederson,Manchester City,GK,29,33,"2,785",0,0,0,0.0,0.0,0,4,0.00,0.00,0.00,0.00,0.00,0,0,4,0,0
Edson Álvarez,West Ham,MF,25,31,"2,377",1,0,1,1.3,1.3,20,91,0.04,0.04,0.08,0.05,0.05,0,1,91,20,26
Elijah Adebayo,Luton Town,FW,25,27,"1,419",10,0,0,5.9,5.9,16,23,0.63,0.00,0.63,0.37,0.37,0,0,23,16,110
Elliot Anderson,Newcastle Utd,"MF,FW",20,21,"1,027",0,0,2,1.5,1.5,37,57,0.00,0.18,0.18,0.13,0.13,0,2,57,37,70
Emerson,Tottenham,DF,24,22,"1,161",1,0,0,0.2,0.2,21,57,0.08,0.00,0.08,0.02,0.02,0,0,57,21,35
Emerson Palmieri,West Ham,DF,28,36,"3,137",1,0,2,1.5,1.5,59,125,0.03,0.06,0.09,0.04,0.04,0,2,125,59,124
Emil Krafth,Newcastle Utd,DF,28,17,913,0,0,0,0.2,0.2,12,29,0.00,0.00,0.00,0.02,0.02,0,0,29,12,33
Emile Smith Rowe,Arsenal,MF,23,13,353,0,0,1,2.0,2.0,11,23,0.00,0.25,0.25,0.50,0.50,0,1,23,11,18
Emiliano Martínez,Aston Villa,GK,30,34,"3,015",0,0,0,0.0,0.0,0,2,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0
Enes Ünal,Bournemouth,"FW,MF",26,16,328,2,0,2,2.9,2.9,4,7,0.55,0.55,1.10,0.80,0.80,0,2,7,4,28
Enzo Fernández,Chelsea,MF,22,28,"2,209",3,1,2,6.2,4.6,52,210,0.12,0.08,0.20,0.25,0.19,2,2,210,52,54
